species,month,farm_work,garden_work,farm_queen,garden_queen,gf_ratio_work,gf_ratio_queen,gf_ratio_all,prop_farm_work,prop_garden_work,prop_farm_queen,prop_garden_queen,gf_ratio_work_ful_yr,gf_ratio_all_ful_yr,gf_ratio_work_scaled,gf_ratio_w_q_scaled,gf_ratio_m_q_scaled,g_f_nectar_ratio
B.terrestris,3,7,8,112,86,1.142857143,0.767857143,0.789915966,0.002511661,0.002979516,0.201801802,0.260606061,1.142857143,0.79338843,3.363829968,2.325000125,2.26007326,2.622661327
B.terrestris,4,16,15,151,48,0.9375,0.317880795,0.377245509,0.00574094,0.005586592,0.272072072,0.145454545,0.888888889,0.333333333,2.759391771,1.11036603,0.929479333,0.052357592
B.terrestris,5,292,233,42,26,0.797945205,0.619047619,0.775449102,0.104772156,0.086778399,0.075675676,0.078787879,1.187096774,1.206896552,2.348632996,2.282419062,2.274407763,0.107066865
B.terrestris,6,1037,420,58,27,0.405014465,0.465517241,0.408219178,0.372084679,0.156424581,0.104504505,0.081818182,0.606557377,0.587596899,1.19209982,1.201532417,0.885218413,0.324938581
B.terrestris,7,630,826,81,30,1.311111111,0.37037037,1.203938115,0.226049516,0.307635009,0.145945946,0.090909091,1.469740634,1.309734513,3.859060492,3.543612723,2.218177733,0.261573998
B.terrestris,8,712,807,82,71,1.133426966,0.865853659,1.105793451,0.255471834,0.300558659,0.147747748,0.215151515,0.931111111,0.996219282,3.336073647,3.254738505,4.204787461,0.446561167
B.terrestris,9,80,361,21,27,4.5125,1.285714286,3.841584158,0.0287047,0.134450652,0.037837838,0.081818182,4.7,3.8,13.28187239,11.30713143,7.989096175,0.208552371
B.terrestris,10,13,15,8,15,1.153846154,1.875,1.428571429,0.004664514,0.005586592,0.014414414,0.045454545,1.333333333,1.285714286,3.396174487,4.204787461,6.475372689,0.653499049
B.pascuorum,3,0,0,5,4,0,0.8,0.8,0,0,0.015923567,0.053333333,0,1.4,NA,2.354680978,2.354680978,2.622661327
B.pascuorum,4,18,9,107,32,0.5,0.299065421,0.328,0.007326007,0.007575758,0.340764331,0.426666667,0.25,0.460674157,1.471675611,0.965419201,0.864103111,0.052357592
B.pascuorum,5,170,67,144,18,0.394117647,0.125,0.270700637,0.069190069,0.056397306,0.458598726,0.24,0.231481481,0.18627451,1.160026658,0.796767051,0.367918903,0.107066865
B.pascuorum,6,346,137,26,3,0.395953757,0.115384615,0.376344086,0.140822141,0.115319865,0.082802548,0.04,0.471204188,0.449074074,1.165430975,1.107712826,0.318200132,0.324938581
B.pascuorum,7,565,233,4,6,0.412389381,1.5,0.420035149,0.22995523,0.196127946,0.012738854,0.08,0.438172043,0.427848101,1.213806787,1.23631097,2.943351222,0.261573998
B.pascuorum,8,1010,398,12,4,0.394059406,0.333333333,0.39334638,0.411070411,0.335016835,0.038216561,0.053333333,0.32083958,0.338935574,1.159855234,1.157756547,0.649830789,0.446561167
B.pascuorum,9,326,294,12,6,0.901840491,0.5,0.887573964,0.132682133,0.247474747,0.038216561,0.08,0.683673469,0.842323651,2.654433311,2.612441913,4.572706363,0.208552371
B.pascuorum,10,22,50,4,2,2.272727273,0.5,2,0.008954009,0.042087542,0.012738854,0.026666667,1.916666667,1.722222222,6.689434596,5.886702445,5.886702445,0.653499049
B.pratorum,3,2,0,9,9,0,1,0.818181818,0.004618938,0,0.136363636,0.290322581,0,0.818181818,NA,2.408196455,2.943351222,2.622661327
B.pratorum,4,6,14,10,15,2.333333333,1.5,1.8125,0.013856813,0.045751634,0.151515152,0.483870968,2.25,2.272727273,6.867819519,5.334824091,5.003697078,0.052357592
B.pratorum,5,148,137,22,3,0.925675676,0.136363636,0.823529412,0.341801386,0.447712418,0.333333333,0.096774194,1.135802469,0.934782609,2.724588632,2.423936301,1.387096553,0.107066865
B.pratorum,6,167,116,19,2,0.694610778,0.105263158,0.634408602,0.385681293,0.379084967,0.287878788,0.064516129,0.632075472,0.389908257,2.044483484,1.867287335,0.856247628,0.324938581
B.pratorum,7,60,22,2,0,0.366666667,0,0.35483871,0.138568129,0.071895425,0.03030303,0,0.9375,1,1.079228782,1.04441495,1.471675611,0.261573998
B.pratorum,8,48,15,3,0,0.3125,0,0.294117647,0.110854503,0.049019608,0.045454545,0,0.179487179,0.114754098,0.919797257,0.865691536,0.519414922,0.446561167
B.pratorum,9,2,2,1,1,1,1,1,0.004618938,0.006535948,0.015151515,0.032258065,0,0,2.943351222,2.943351222,8.830053667,0.208552371
B.pratorum,10,0,0,0,1,0,1,1,0,0,0,0.032258065,0,1,NA,NA,NA,0.653499049
B.lapidarius,3,0,0,9,5,0,0.555555556,0.555555556,0,0,0.054545455,0.056818182,0,0.555555556,NA,1.635195124,1.635195124,2.622661327
B.lapidarius,4,0,2,77,19,2,0.246753247,0.272727273,0,0.005714286,0.466666667,0.215909091,2,0.245283019,NA,0.802732152,0.72628147,0.052357592
B.lapidarius,5,104,17,21,20,0.163461538,0.952380952,0.296,0.104104104,0.048571429,0.127272727,0.227272727,0.193548387,0.347222222,0.481124719,0.871231962,2.943351222,0.107066865
B.lapidarius,6,275,176,7,6,0.64,0.857142857,0.645390071,0.275275275,0.502857143,0.042424242,0.068181818,1.268907563,1.3125,1.883744782,1.899609654,3.065990857,0.324938581
B.lapidarius,7,367,111,9,10,0.302452316,1.111111111,0.321808511,0.367367367,0.317142857,0.054545455,0.113636364,0.762886598,0.559808612,0.890223394,0.947195473,1.241172202,0.261573998
B.lapidarius,8,250,37,36,19,0.148,0.527777778,0.195804196,0.25025025,0.105714286,0.218181818,0.215909091,0.161971831,0.231343284,0.435615981,0.576320519,0.751493929,0.446561167
B.lapidarius,9,3,7,0,5,2.333333333,1,4,0.003003003,0.02,0,0.056818182,1,1,6.867819519,11.77340489,2.140619071,0.208552371
B.lapidarius,10,0,0,6,4,0,0.666666667,0.666666667,0,0,0.036363636,0.045454545,0,0,NA,1.962234148,1.962234148,0.653499049
